,feature,importance
118,BldgType_Twnhs,3.16200654084e-05
192,BsmtCond_N/A,0.0
193,BsmtCond_Po,0.0
198,BsmtExposure_N/A,2.78777501304e-05
204,BsmtFinType1_N/A,4.18938001764e-05
188,BsmtQual_N/A,6.79165810371e-05
108,Condition1_RRNe,0.0
110,Condition2_Artery,0.0
111,Condition2_Feedr,7.07902786831e-05
113,Condition2_PosA,7.40106339202e-05
177,ExterCond_Po,0.0
138,Exterior1st_AsphShn,0.0
139,Exterior1st_BrkComm,0.0
141,Exterior1st_CBlock,0.0
152,Exterior2nd_Brk Cmn,6.94981903957e-05
154,Exterior2nd_CBlock,0.0
238,Functional_Sev,0.0
262,GarageCond_Ex,0.0
264,GarageCond_Gd,0.0
221,HeatingQC_Po,0.0
217,Heating_Wall,7.3125957528e-05
71,LotConfig_FR3,3.18452880382e-05
35,MSSubClass_160,2.84789768106e-05
36,MSSubClass_180,9.50661300051e-05
40,MSSubClass_40,5.546932723e-05
41,MSSubClass_45,0.0
47,MSSubClass_85,3.79564673195e-05
279,MiscFeature_Gar2,1.52466411407e-06
281,MiscFeature_Othr,2.16989889347e-05
76,Neighborhood_Blmngtn,0.0
77,Neighborhood_Blueste,0.0
78,Neighborhood_BrDale,0.0
89,Neighborhood_NPkVill,0.0
129,RoofStyle_Gambrel,6.65443302875e-05
132,RoofStyle_Shed,0.0
293,SaleCondition_AdjLand,2.64084673054e-05
285,SaleType_Con,0.0
290,SaleType_Oth,0.0
67,Utilities_AllPub,0.0
